m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
     6.911    1.4492    0.0567
     7.085    1.4207    0.0575
     7.293    1.3787    0.0612
     7.514    1.3207    0.0736
     7.749    1.2494    0.1082
     7.999    1.1729    0.1760
     8.266    1.1217    0.2847
     8.377    1.1145    0.3289
     8.492    1.1091    0.3687
     8.610    1.0999    0.4077
     8.731    1.0870    0.4527
     8.856    1.0755    0.5083
     8.984    1.0719    0.5746
     9.116    1.0821    0.6482
     9.253    1.1096    0.7225
     9.393    1.1531    0.7901
     9.537    1.2082    0.8453
     9.664    1.2586    0.8802
     9.686    1.2673    0.8852
     9.840    1.3222    0.9136
     9.999    1.3701    0.9391
    10.163    1.4167    0.9692
    10.332    1.4741    1.0050
    10.507    1.5499    1.0300
    10.688    1.6289    1.0300
    10.876    1.6935    1.0160
    11.070    1.7513    1.0040
    11.271    1.8098    0.9846
    11.480    1.8602    0.9588
    11.697    1.9085    0.9353
    11.922    1.9622    0.9016
    12.155    2.0050    0.8527
    12.276    2.0200    0.8279
    12.398    2.0340    0.8039
    12.651    2.0600    0.7504
    12.915    2.0720    0.6876
    13.190    2.0670    0.6283
    13.477    2.0520    0.5691
    13.776    2.0140    0.5118
    14.089    1.9547    0.4745
    14.417    1.8892    0.4651
    14.760    1.8311    0.4790
    14.999    1.7994    0.4949
    15.120    1.7849    0.5037
    15.498    1.7436    0.5369
    15.895    1.7109    0.5796
    16.314    1.6838    0.6299
    16.755    1.6690    0.6903
    17.220    1.6636    0.7538
    17.712    1.6735    0.8259
    18.233    1.6975    0.8952
    18.785    1.7414    0.9664
    19.372    1.7990    1.0220
    20.001    1.8735    1.0650
    20.325    1.9076    1.0720
    20.664    1.9362    1.0820
    21.014    1.9666    1.0920
    21.377    1.9971    1.0990
    21.752    2.0240    1.1060
    22.140    2.0540    1.1160
    22.543    2.0880    1.1200
    22.960    2.1150    1.1190
    23.393    2.1410    1.1240
    23.843    2.1710    1.1280
    24.311    2.1970    1.1290
    24.797    2.2260    1.1350
    24.997    2.2390    1.1360
    27.552    2.3710    1.1260
    29.999    2.4820    1.1160
    33.509    2.6110    1.0850
    37.571    2.7210    1.0500
    41.328    2.8230    1.0190
    45.085    2.9090    0.9788
    49.994    3.0020    0.9230
    51.660    3.0290    0.9039
    53.906    3.0620    0.8781
    56.356    3.0950    0.8502
    59.040    3.1270    0.8204
    61.992    3.1570    0.7885
    63.582    3.1720    0.7719
    65.255    3.1860    0.7549
    67.018    3.2000    0.7375
    68.880    3.2140    0.7197
    70.008    3.2210    0.7092
    70.848    3.2270    0.7015
    72.932    3.2390    0.6830
    75.142    3.2510    0.6642
    77.490    3.2630    0.6451
    79.990    3.2740    0.6258
    82.656    3.2850    0.6063
    85.506    3.2950    0.5865
    88.560    3.3050    0.5666
    91.840    3.3140    0.5466
    95.372    3.3230    0.5264
    99.987    3.3330    0.5021
   103.320    3.3390    0.4858
   112.713    3.3530    0.4450
   118.080    3.3600    0.4245
   123.984    3.3660    0.4040
   135.000    3.3760    0.3706
   149.993    3.3850    0.3330
   174.995    3.3950    0.2848
   200.007    3.4020    0.2487
   225.016    3.4080    0.2207
   240.000    3.4110    0.2069
   247.968    3.4140    0.1998
   250.018    3.4140    0.1978
   259.979    3.4160    0.1877
   274.970    3.4170    0.1739
   299.986    3.4160    0.1551
   348.858    3.4130    0.1289
   398.662    3.4100    0.1111
   448.567    3.4070    0.0986
   499.935    3.4050    0.0892
   548.117    3.4040    0.0825
   598.090    3.4030    0.0771
   619.920    3.4030    0.0751
   637.778    3.4030    0.0736
   657.740    3.4030    0.0721
   677.879    3.4030    0.0706
   700.079    3.4030    0.0692
   750.054    3.4030    0.0663
   797.325    3.4030    0.0639
   899.739    3.4040    0.0594
